make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,brand,transmission,color,service_history,accidents_reported,insurance_valid,price_usd
2011,24.42,1200,Diesel,4,Hyundai,Automatic,Blue,,0,Yes,5843.76
1995,9.6,1200,Petrol,1,Chevrolet,Manual,Gray,,1,Yes,3953.87
2013,12.61,3000,Petrol,5,Tesla,Manual,White,Partial,1,Yes,7588.23
2013,28.35,800,Diesel,1,BMW,Manual,Red,,0,Yes,6933.64
2009,14.28,3000,Diesel,3,Chevrolet,Manual,Gray,Full,1,Yes,6491.54
2016,18.22,1000,Petrol,4,Chevrolet,Manual,Blue,Full,0,Yes,5179.66
2019,17.0,5000,Diesel,2,Ford,Manual,Blue,Partial,1,No,11891.74
1997,18.8,1500,Petrol,4,Honda,Automatic,Red,Full,1,Yes,2944.06
2010,13.44,2500,Diesel,3,Volkswagen,Automatic,Blue,Full,0,Yes,7058.73
2014,13.9,1500,Diesel,1,Hyundai,Manual,Black,,0,Yes,7426.9
2017,19.92,1200,Petrol,3,Toyota,Automatic,Gray,Partial,0,Yes,8032.2
2019,30.31,1200,Petrol,3,Ford,Automatic,White,Full,1,Yes,9140.48
2020,23.27,4000,Petrol,3,Kia,Automatic,Silver,Full,0,Yes,11362.28
2005,22.34,4000,Petrol,3,BMW,Manual,White,Full,0,Yes,9631.69
2016,19.86,800,Petrol,1,Toyota,Automatic,Red,Full,0,Yes,8793.51
1995,20.19,1200,Petrol,2,Honda,Manual,Black,Full,0,No,5047.31
1995,13.23,800,Diesel,2,Honda,Manual,Gray,Partial,1,Yes,2297.31
2007,17.57,2000,Petrol,5,Nissan,Manual,Black,Full,0,Yes,5870.03
1997,19.43,800,Electric,3,Ford,Automatic,Silver,,1,Yes,5553.0
2000,14.47,2500,Petrol,3,Tesla,Manual,White,,2,Yes,4125.06
2015,18.62,1200,Diesel,2,Hyundai,Manual,Black,Partial,0,Yes,7472.53
2020,17.6,1000,Petrol,4,Nissan,Manual,Gray,,0,Yes,7187.15
2022,20.08,800,Diesel,5,Chevrolet,Manual,Gray,,1,Yes,3338.86
2020,17.1,5000,Petrol,2,Volkswagen,Manual,Silver,Full,0,Yes,12898.23
2010,20.52,2500,Electric,2,Volkswagen,Manual,Black,Full,0,Yes,12689.55
2017,18.47,2000,Diesel,3,Chevrolet,Automatic,Silver,Full,0,Yes,7412.2
1997,26.58,800,Petrol,1,Ford,Manual,Blue,Partial,2,Yes,5840.15
1999,19.7,5000,Petrol,1,Tesla,Manual,White,Full,0,No,10585.79
2012,16.6,2500,Petrol,3,Volkswagen,Manual,Gray,Full,3,Yes,6559.56
1998,10.52,3000,Petrol,1,Hyundai,Manual,Gray,Full,1,Yes,5823.76
2013,17.96,1800,Petrol,2,Toyota,Automatic,White,Full,1,Yes,6599.46
2021,16.41,1500,Diesel,2,Volkswagen,Automatic,Silver,,0,No,9529.44
2011,22.79,4000,Electric,2,Tesla,Automatic,Gray,Partial,0,Yes,13312.85
2006,15.37,1500,Diesel,3,Toyota,Automatic,Silver,Partial,1,Yes,4327.01
1995,18.3,3000,Diesel,4,Ford,Manual,Blue,,0,Yes,4624.84
2001,24.8,5000,Diesel,2,Nissan,Manual,Silver,Full,0,Yes,10555.61
2022,14.15,1200,Petrol,2,Tesla,Manual,Gray,Full,2,Yes,8894.87
2018,16.86,1800,Petrol,3,Nissan,Automatic,Black,Partial,1,Yes,6659.21
2015,19.15,4000,Diesel,1,BMW,Manual,White,,2,Yes,10108.77
2004,10.29,1200,Petrol,2,Toyota,Manual,Silver,Full,0,No,1446.44
2023,21.78,3000,Diesel,2,Ford,Manual,Red,Partial,0,Yes,11462.67
1998,24.0,2000,Petrol,2,Toyota,Automatic,White,Full,0,Yes,8114.07
2023,25.78,1200,Diesel,5,Kia,Automatic,Gray,Partial,0,Yes,8344.99
1999,17.13,1500,Petrol,5,Toyota,Automatic,Red,Partial,1,Yes,3623.15
2016,17.06,1800,Petrol,3,Tesla,Automatic,Black,Partial,1,Yes,7056.08
2005,21.87,1200,Petrol,3,Toyota,Automatic,Red,Full,0,No,4655.68
2015,27.94,1500,Diesel,5,Tesla,Manual,Blue,,1,Yes,8464.1
2001,16.44,3000,Diesel,3,Honda,Manual,Red,Full,1,Yes,6533.41
2003,11.58,4000,Electric,5,Tesla,Automatic,White,,1,Yes,10125.89
2022,15.29,5000,Diesel,1,Honda,Manual,White,,0,Yes,14975.53
2017,26.56,2500,Petrol,5,Chevrolet,Automatic,White,Full,0,Yes,7417.71
2004,16.83,800,Diesel,3,Honda,Manual,Red,Full,1,Yes,3636.95
2017,24.83,3000,Diesel,3,Toyota,Manual,Silver,Full,1,No,10828.11
2002,16.07,1200,Petrol,3,BMW,Automatic,Red,Full,1,No,4485.33
2005,16.64,2000,Petrol,1,BMW,Automatic,Black,,0,Yes,7447.41
2007,17.89,1800,Diesel,1,Volkswagen,Manual,Black,Full,1,Yes,7542.87
2009,18.79,1800,Diesel,2,Tesla,Manual,Blue,Full,2,No,5994.19
2021,18.05,1000,Diesel,4,Kia,Automatic,Gray,Full,1,Yes,7100.61
2006,18.36,5000,Petrol,4,Chevrolet,Automatic,Gray,Full,0,No,7918.73
2023,25.08,2500,Petrol,2,Hyundai,Manual,Black,Partial,1,Yes,11742.42
1998,17.01,2000,Diesel,5,Ford,Automatic,White,Partial,1,No,4084.48
2015,9.43,2000,Diesel,3,Chevrolet,Automatic,Silver,Partial,0,Yes,6246.8
2005,14.82,800,Diesel,4,Honda,Manual,Silver,Full,0,Yes,4021.44
2005,17.47,4000,Diesel,2,Kia,Automatic,Black,Full,2,Yes,8372.52
2003,31.19,1500,Petrol,5,Toyota,Automatic,Gray,Full,1,Yes,5627.02
2022,15.66,1200,Electric,2,BMW,Manual,Blue,,0,No,7767.67
1997,22.0,4000,Diesel,4,BMW,Manual,Gray,Partial,0,No,9035.31
2000,21.68,2500,Diesel,5,Tesla,Manual,Black,Full,0,Yes,5095.04
2022,25.04,5000,Petrol,2,BMW,Manual,Gray,Partial,0,No,15632.09
2014,16.01,2500,Electric,5,Volkswagen,Automatic,White,Full,1,Yes,10364.64
2022,15.78,3000,Diesel,1,Toyota,Manual,Silver,Full,0,Yes,11171.51
2001,19.65,3000,Petrol,2,Tesla,Manual,Gray,Full,0,Yes,6996.33
2014,17.39,1500,Electric,5,Volkswagen,Manual,Blue,Full,3,Yes,8179.71
2023,22.27,1800,Petrol,4,Ford,Manual,Gray,Full,0,Yes,9518.82
2007,16.48,2500,Diesel,1,Chevrolet,Manual,Silver,,0,Yes,6710.88
2001,22.26,800,Petrol,3,Nissan,Manual,Gray,Partial,0,Yes,5069.33
2019,21.85,800,Diesel,3,Hyundai,Manual,Blue,Full,0,Yes,6209.54
2011,17.38,800,Petrol,2,Honda,Manual,Gray,Full,0,No,5827.86
2000,12.39,3000,Petrol,4,Nissan,Manual,White,Full,0,Yes,6797.6
2001,13.6,800,Petrol,3,Volkswagen,Automatic,Blue,Partial,0,Yes,2864.36
2007,26.57,1800,Petrol,1,Volkswagen,Manual,Black,Full,1,Yes,6400.54
2012,21.09,4000,Petrol,4,Hyundai,Automatic,Gray,Full,2,Yes,8704.94
2016,18.6,1200,Petrol,5,Volkswagen,Manual,Red,Full,2,Yes,5817.05
2007,7.21,2000,Petrol,1,Ford,Automatic,Red,,0,Yes,5861.69
2000,21.12,3000,Diesel,3,Tesla,Manual,Gray,Partial,0,Yes,6105.28
2011,21.39,3000,Diesel,3,Volkswagen,Manual,Gray,Full,0,Yes,7605.37
2022,19.25,3000,Petrol,4,BMW,Manual,Black,Full,0,Yes,10100.01
1999,20.7,2000,Petrol,5,Nissan,Manual,Gray,Full,1,Yes,3316.14
2022,18.26,4000,Diesel,4,Toyota,Automatic,Gray,Partial,0,Yes,13301.6
2007,19.09,1000,Diesel,5,Volkswagen,Manual,Black,Full,0,Yes,3755.2
1996,14.88,1200,Petrol,4,Toyota,Manual,Red,Full,0,Yes,1000.0
2018,20.09,800,Diesel,4,Tesla,Automatic,Gray,Full,1,Yes,6469.21
2022,23.57,800,Diesel,1,Chevrolet,Automatic,Red,Full,0,Yes,7922.9
2004,14.46,1500,Petrol,2,Nissan,Manual,Blue,Partial,0,No,4017.65
2003,19.39,2000,Diesel,5,Chevrolet,Manual,Blue,Partial,1,Yes,6133.35
2005,20.42,3000,Diesel,2,Chevrolet,Manual,Gray,,0,Yes,6493.25
2020,16.85,4000,Petrol,1,Ford,Automatic,White,Full,1,Yes,12089.61
1998,14.19,2500,Diesel,4,Toyota,Manual,White,Full,0,No,4597.91
2003,20.38,1200,Electric,3,Tesla,Automatic,Red,Full,1,Yes,7453.28
2021,16.12,800,Petrol,5,Ford,Manual,Red,Full,1,Yes,5342.13
2022,11.99,1000,Petrol,2,Hyundai,Automatic,Blue,Partial,1,Yes,6604.62
2004,18.74,800,Petrol,4,Chevrolet,Manual,White,Full,1,Yes,2399.54
2014,22.23,5000,Petrol,4,Tesla,Manual,Gray,Partial,2,Yes,12182.28
2017,18.18,1500,Petrol,1,Honda,Manual,Black,Full,1,Yes,8919.18
2016,14.33,1200,Petrol,5,Nissan,Manual,White,Partial,1,No,3027.25
2020,23.95,2500,Petrol,5,BMW,Manual,Gray,Partial,0,Yes,9030.97
2020,15.67,1800,Petrol,5,BMW,Manual,Blue,,1,Yes,6962.45
2007,19.62,1800,Diesel,4,Kia,Manual,Red,,0,Yes,6048.83
2022,23.91,2000,Diesel,2,Toyota,Manual,Silver,Full,0,Yes,9580.51
2015,20.08,1000,Petrol,3,Chevrolet,Manual,Red,Full,0,Yes,4578.71
2016,16.69,2000,Diesel,2,Chevrolet,Manual,Gray,Full,0,Yes,5860.0
1999,14.67,3000,Petrol,2,Ford,Automatic,Gray,,0,Yes,6023.19
1996,19.8,4000,Petrol,5,Volkswagen,Manual,Black,Partial,0,Yes,7121.71
2009,11.81,800,Petrol,4,Nissan,Manual,Gray,Full,1,Yes,1654.58
1999,18.67,800,Diesel,3,Tesla,Manual,Black,Full,0,Yes,3011.47
2011,14.35,800,Petrol,4,Nissan,Automatic,Blue,Full,0,Yes,3382.42
2004,13.25,2500,Diesel,1,Ford,Manual,Blue,Partial,1,Yes,8011.77
2012,8.36,3000,Electric,4,Chevrolet,Automatic,Silver,Full,1,Yes,10192.21
2021,12.44,2500,Petrol,3,Ford,Manual,Blue,,0,Yes,7872.14
2001,16.54,1500,Electric,5,Toyota,Automatic,Blue,,1,No,5292.28
2015,18.85,5000,Petrol,1,BMW,Automatic,Silver,Partial,0,Yes,14379.65
2022,17.04,1800,Petrol,3,Nissan,Manual,Silver,Full,1,Yes,7798.09
2002,11.28,3000,Petrol,3,Tesla,Manual,Black,Full,0,Yes,6424.18
2020,15.21,1500,Electric,5,Tesla,Automatic,Blue,,1,Yes,8725.8
2013,23.95,3000,Diesel,4,BMW,Manual,Gray,Partial,0,Yes,10564.03
2001,18.72,2500,Electric,2,Kia,Manual,Silver,Full,0,Yes,8409.16
2022,22.2,3000,Petrol,1,Toyota,Manual,Blue,Full,1,Yes,11152.22
2015,25.12,5000,Petrol,3,Volkswagen,Manual,Silver,Partial,2,Yes,12597.77
2015,21.7,1500,Diesel,2,Chevrolet,Automatic,Red,Partial,3,No,5447.44
2007,19.23,1000,Petrol,3,Tesla,Manual,Red,Full,1,No,3348.39
2017,19.68,1000,Petrol,4,Honda,Manual,Black,Full,2,No,4936.44
2017,10.95,3000,Petrol,5,Kia,Manual,Blue,Full,0,No,8492.47
1996,21.04,1200,Petrol,2,Honda,Manual,Red,Full,1,Yes,3932.58
2019,22.38,1200,Petrol,5,Ford,Manual,Red,,0,Yes,6072.5
2017,24.83,1200,Petrol,4,Chevrolet,Automatic,Blue,,0,Yes,6553.08
1997,21.76,5000,Diesel,1,Volkswagen,Automatic,White,Partial,0,No,8319.81
1998,13.99,3000,Diesel,3,Chevrolet,Manual,Black,,1,No,7058.39
2012,16.94,800,Petrol,2,Nissan,Manual,White,Full,1,Yes,5910.65
1998,22.09,1500,Petrol,2,Kia,Manual,Silver,,1,Yes,5478.68
2016,23.24,2000,Diesel,4,Nissan,Manual,Silver,Partial,0,Yes,8321.32
2006,12.31,2000,Diesel,3,Kia,Manual,Blue,Partial,1,Yes,5046.81
2018,16.29,1200,Diesel,2,Kia,Manual,Red,Partial,1,Yes,6906.61
2021,17.83,2500,Diesel,5,Tesla,Manual,Silver,Partial,0,No,7492.78
2018,23.48,3000,Diesel,1,Chevrolet,Manual,Gray,Partial,0,Yes,11498.79
1999,14.04,2000,Petrol,1,Nissan,Automatic,Black,Full,2,No,4626.75
2002,14.5,1800,Diesel,2,Honda,Manual,White,Partial,1,Yes,5089.96
2010,18.63,800,Diesel,2,Chevrolet,Manual,Red,Full,1,Yes,3018.16
2017,20.88,5000,Diesel,2,BMW,Manual,Silver,Partial,2,Yes,11390.41
1995,16.86,3000,Electric,1,Nissan,Automatic,Red,Partial,1,Yes,10091.19
2004,8.46,800,Diesel,1,Honda,Automatic,Gray,Full,0,Yes,4657.62
2021,19.99,5000,Diesel,4,Tesla,Manual,Gray,Full,0,Yes,13853.11
2000,26.4,800,Diesel,4,Volkswagen,Automatic,Gray,Full,1,Yes,4355.25
2018,18.02,1000,Diesel,2,Ford,Manual,Black,Partial,0,Yes,8081.9
2013,17.29,1000,Diesel,1,Hyundai,Automatic,Red,Partial,1,No,5135.82
2003,21.51,4000,Diesel,4,Hyundai,Automatic,White,Partial,2,No,9110.93
2016,22.64,5000,Diesel,1,Nissan,Manual,Silver,,0,Yes,14147.61
2000,11.16,1500,Electric,5,Kia,Automatic,Red,Partial,0,No,4498.95
2013,14.18,1800,Petrol,3,BMW,Automatic,White,,0,No,5738.55
2017,24.81,2500,Petrol,2,Kia,Manual,Blue,,0,No,8375.59
2007,18.48,2000,Petrol,5,Nissan,Automatic,Gray,Full,0,Yes,4981.61
2016,15.96,1800,Electric,1,Kia,Automatic,Black,Partial,2,Yes,12036.47
2012,12.3,1500,Petrol,5,Hyundai,Automatic,Blue,Partial,3,Yes,3420.39
2017,16.99,3000,Petrol,4,Kia,Automatic,Black,Partial,0,Yes,7750.85
2003,22.54,1800,Petrol,2,Volkswagen,Automatic,Gray,Partial,0,Yes,7270.53
2009,22.16,1500,Electric,1,Toyota,Automatic,Blue,Full,1,No,10956.46
2018,20.05,5000,Diesel,3,Nissan,Manual,White,Partial,0,No,11300.95
2013,17.65,3000,Petrol,5,Volkswagen,Manual,Blue,,0,Yes,6831.92
2013,24.57,1200,Petrol,5,Tesla,Manual,Red,Full,0,No,5252.19
2007,26.15,5000,Petrol,3,Nissan,Manual,Gray,Full,0,Yes,11526.89
2018,21.94,800,Diesel,2,Tesla,Manual,Silver,Full,0,Yes,6155.3
2010,15.73,2500,Petrol,2,Honda,Automatic,Red,Partial,0,Yes,6348.91
1999,15.91,5000,Petrol,4,Volkswagen,Automatic,Gray,Full,0,Yes,9406.96
2011,26.66,4000,Petrol,5,Toyota,Manual,Blue,Full,0,Yes,10279.1
1997,11.26,5000,Petrol,2,Ford,Manual,Gray,Partial,0,Yes,9296.34
2004,15.07,1000,Diesel,3,Tesla,Automatic,White,Full,0,Yes,2701.01
