make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,brand,transmission,color,service_history,accidents_reported,insurance_valid,actual_price_usd,predicted_price_usd
2019,18.62,1800,Diesel,5,Volkswagen,Automatic,Red,Partial,0,No,8047.7,6849.104758649737
2019,19.96,1200,Petrol,2,Tesla,Automatic,Blue,Partial,0,Yes,6169.26,7370.580882560591
2007,16.33,2500,Petrol,2,Honda,Automatic,Blue,Full,0,Yes,8475.09,7157.527352626713
2023,18.72,4000,Diesel,3,Hyundai,Manual,White,Full,1,No,10044.52,11601.807326700955
2007,17.55,2500,Petrol,2,Honda,Automatic,Red,,0,No,8270.07,7417.634241448652
2019,15.97,2000,Diesel,1,Nissan,Automatic,Red,Partial,1,Yes,8490.93,8709.434689889957
1996,21.81,2500,Diesel,1,Honda,Automatic,White,Partial,0,Yes,6697.94,6717.4951027943325
2001,15.7,3000,Petrol,4,BMW,Manual,White,Full,1,Yes,5452.33,6032.379953862573
2021,25.34,3000,Petrol,2,BMW,Automatic,Blue,Partial,0,Yes,12731.56,11117.871537726362
2017,23.53,1800,Petrol,1,Honda,Manual,Silver,Full,1,Yes,10290.09,8956.614749589906
1996,22.07,1800,Diesel,3,Tesla,Manual,Silver,Full,1,No,4849.69,4649.950445953412
2019,19.81,2500,Diesel,2,Ford,Automatic,Silver,,3,Yes,11251.36,9349.088472250372
2008,18.95,1200,Petrol,1,Tesla,Automatic,Blue,Partial,0,No,8585.84,6136.087976861395
2001,27.33,5000,Diesel,1,Ford,Manual,Black,Partial,0,Yes,12285.24,11820.925478766407
1997,20.11,1000,Petrol,4,Chevrolet,Manual,Blue,Partial,0,Yes,2912.35,2854.9579475558403
2004,14.92,800,Diesel,4,Ford,Manual,White,Partial,0,Yes,1858.64,3014.80014632857
2003,23.84,1800,Petrol,3,Nissan,Manual,White,Full,0,Yes,6130.93,5946.064214041059
2014,21.44,1800,Electric,2,Ford,Manual,Blue,Partial,4,Yes,10769.76,10751.881382178273
2007,17.32,2000,Petrol,3,Volkswagen,Manual,Silver,Full,1,Yes,6796.79,6066.175041938492
2008,14.64,2000,Petrol,1,Nissan,Manual,Silver,,0,Yes,7760.86,6820.817810705953
2004,13.52,4000,Petrol,4,BMW,Automatic,Gray,Full,1,Yes,6389.33,7691.152587230044
1997,14.5,1200,Diesel,1,Ford,Manual,Blue,Full,0,Yes,4767.16,3947.3253716842673
1998,13.64,1500,Petrol,4,Hyundai,Automatic,Black,Partial,1,Yes,4004.46,3027.2503493401837
2017,21.36,800,Petrol,4,BMW,Automatic,Silver,Partial,0,Yes,5141.0,5783.808105460542
2007,24.05,2000,Diesel,5,Volkswagen,Manual,White,Full,1,No,7956.66,5974.4592732824685
2009,17.87,3000,Petrol,4,Volkswagen,Automatic,Blue,Partial,0,Yes,8353.09,7436.194948120502
2010,20.57,2000,Diesel,1,Volkswagen,Automatic,Silver,Full,1,Yes,8343.11,7901.425913733612
2016,21.55,1200,Diesel,5,Chevrolet,Automatic,Blue,,0,No,5195.9,5718.723933717758
2006,11.75,800,Diesel,5,BMW,Automatic,Silver,,0,Yes,2408.26,2502.0535044731078
2007,16.67,1500,Petrol,5,Nissan,Manual,Blue,Partial,1,Yes,2631.93,4209.753532044424
1999,20.21,2000,Diesel,2,Volkswagen,Manual,Red,Full,1,Yes,5439.61,5789.259148523377
2006,22.33,3000,Diesel,1,Ford,Automatic,White,Partial,0,No,9718.84,9011.022492372045
2006,17.37,1500,Petrol,4,Volkswagen,Automatic,Silver,Full,1,Yes,4828.82,4700.949063770144
2010,14.87,800,Petrol,3,Volkswagen,Manual,Red,Full,1,Yes,2462.72,4493.57273158643
2004,24.59,800,Diesel,5,Kia,Automatic,Red,,0,No,3166.47,3800.197731453156
1997,28.93,800,Petrol,3,BMW,Automatic,Red,Full,0,Yes,4768.88,4284.346767711333
2015,23.49,5000,Diesel,3,Toyota,Automatic,Gray,Full,0,Yes,11958.09,12446.53218929168
2005,24.74,3000,Petrol,4,Kia,Automatic,Silver,Partial,1,No,7037.56,7672.082288286629
2013,19.0,1200,Diesel,3,Hyundai,Automatic,Red,Partial,1,No,6551.32,6013.502929843923
2012,8.09,2000,Petrol,4,Volkswagen,Automatic,Blue,Partial,2,Yes,4672.29,5214.536480348764
2016,22.88,1800,Petrol,3,Ford,Automatic,Blue,Full,2,No,8533.64,7757.612634953361
2013,17.94,1000,Petrol,2,Honda,Manual,Black,Partial,0,No,5822.15,6074.0555742253555
2011,20.23,800,Electric,4,Kia,Manual,Gray,,0,Yes,7281.79,7700.10789063301
2001,16.93,5000,Petrol,2,BMW,Automatic,Silver,Partial,1,No,9637.25,10161.21733671381
2023,14.53,1500,Diesel,3,Honda,Manual,Red,Full,1,Yes,7208.92,7409.364386126767
2019,27.53,4000,Petrol,4,Kia,Automatic,Gray,Full,0,Yes,11071.79,11550.082611733398
1996,8.66,1500,Petrol,4,Toyota,Automatic,White,Partial,1,No,1958.36,2174.359993872952
2018,18.13,800,Diesel,5,Chevrolet,Manual,White,Full,2,Yes,5863.26,5006.634271883477
2016,21.63,1500,Petrol,5,Nissan,Manual,Blue,Partial,0,Yes,5310.39,6143.809120529702
1997,15.0,4000,Petrol,1,Hyundai,Automatic,Red,Full,1,Yes,10713.71,8273.933864269362
2008,21.29,1500,Diesel,4,Chevrolet,Automatic,Black,Full,1,No,6351.71,5489.573693697257
1999,20.57,1200,Diesel,4,Honda,Automatic,Black,,1,Yes,3195.0,3618.5978076064694
2018,20.24,1500,Diesel,1,Kia,Automatic,Silver,Full,0,Yes,7490.44,8254.050563432911
2021,21.27,4000,Petrol,3,Tesla,Manual,Blue,Full,0,Yes,10896.45,11508.463932817587
2016,26.63,4000,Petrol,2,Honda,Manual,Black,Full,2,No,11119.8,12062.952808651948
2012,6.37,5000,Petrol,4,Ford,Automatic,Black,Full,1,Yes,9885.1,9470.87423891261
2003,22.17,1000,Petrol,4,Honda,Manual,Black,Full,1,Yes,4353.94,4090.21505671953
2003,12.96,1800,Diesel,2,Tesla,Manual,Silver,Partial,1,Yes,6282.46,5043.304574246584
2010,15.32,2000,Diesel,4,Nissan,Automatic,Silver,Full,2,Yes,6470.38,5759.730834087624
2012,15.66,2500,Diesel,3,Chevrolet,Automatic,Red,Full,0,Yes,7548.84,7375.514034422686
1999,18.86,4000,Electric,1,Honda,Automatic,Gray,,0,Yes,13030.92,12030.975528975898
1997,18.92,800,Petrol,3,Tesla,Manual,Black,Partial,1,Yes,1000.0,2926.831289643227
2008,19.94,3000,Petrol,1,BMW,Manual,Black,Partial,1,Yes,9244.54,9061.69264237543
2002,20.23,1000,Petrol,3,Toyota,Automatic,Red,Full,1,Yes,4097.57,4210.1561269950325
2008,14.55,4000,Petrol,5,Chevrolet,Manual,White,,0,Yes,8534.54,7855.060384865445
2013,13.31,800,Petrol,2,Kia,Manual,Gray,Full,0,No,5541.6,5156.402745813835
2006,15.6,5000,Petrol,1,Chevrolet,Manual,Blue,Full,0,Yes,10017.07,11093.659660201141
2006,27.19,1800,Petrol,1,Chevrolet,Automatic,Red,Partial,0,Yes,6789.77,7803.756881098263
2022,14.51,2000,Diesel,4,Tesla,Automatic,Silver,,0,Yes,6930.85,7387.981747999224
2014,10.94,5000,Petrol,1,BMW,Automatic,Black,Partial,0,Yes,13206.31,11864.092763948047
2004,18.43,1200,Diesel,5,Ford,Manual,Black,Full,1,Yes,1411.89,3562.195722611652
2018,15.57,2000,Petrol,3,Honda,Manual,Gray,Full,2,Yes,7940.49,7470.124934572116
2020,22.21,1800,Petrol,1,Hyundai,Manual,Silver,Partial,1,Yes,9906.49,9194.422661248878
2007,17.94,1200,Diesel,4,Tesla,Automatic,Red,,2,Yes,3370.84,4454.8963232141705
2002,23.81,3000,Petrol,4,Tesla,Manual,Black,Full,1,Yes,7172.11,7060.8723404752745
2023,21.02,4000,Petrol,1,Tesla,Manual,Silver,Partial,1,Yes,11183.46,12764.708511388133
2007,15.45,2000,Diesel,3,BMW,Manual,Blue,Partial,1,Yes,5923.33,5851.400534931789
2015,18.3,4000,Petrol,2,Ford,Automatic,Black,Partial,0,Yes,12522.23,10837.955134247166
2004,8.97,3000,Diesel,3,Tesla,Manual,Red,,0,Yes,3488.14,6080.795372105299
2011,15.5,800,Electric,4,Volkswagen,Manual,Black,Full,2,Yes,7006.96,7224.0676143083865
1999,13.89,2000,Diesel,3,Hyundai,Automatic,Black,Partial,2,Yes,3725.76,4450.960506181532
2010,20.01,1800,Petrol,3,Ford,Manual,Silver,Full,1,Yes,8020.6,6472.985407014372
2013,17.43,2500,Petrol,2,Ford,Automatic,Gray,,0,No,6756.69,8188.6211030315635
2008,17.31,800,Petrol,5,Ford,Manual,Gray,Full,1,No,3900.89,3413.5132821833367
2013,16.65,1200,Diesel,2,Nissan,Manual,Silver,Partial,0,Yes,5460.5,6126.353260515065
2003,12.67,4000,Petrol,1,Honda,Automatic,White,Full,0,Yes,8865.74,8891.925314984832
2005,11.53,3000,Petrol,2,Nissan,Manual,Gray,Partial,1,Yes,7330.51,7009.0797056450665
2020,15.88,1000,Diesel,5,Kia,Manual,Red,Full,2,Yes,6410.57,5386.256332475801
1997,18.72,4000,Diesel,4,Toyota,Manual,White,Full,1,Yes,7023.11,7231.55767107791
1997,18.91,2500,Diesel,1,Honda,Manual,Gray,Full,1,Yes,4065.0,6475.420104307679
2020,21.84,2000,Petrol,4,Hyundai,Manual,Blue,Full,0,Yes,8611.67,7970.482126146149
2007,18.38,4000,Petrol,2,BMW,Manual,White,,0,No,7981.91,9751.728143742926
2008,21.98,5000,Electric,4,Kia,Manual,Red,Full,0,Yes,14271.58,13809.425161482397
2023,17.22,1200,Petrol,4,Kia,Manual,Black,Full,2,Yes,5249.9,6750.927668255036
2020,21.5,1800,Petrol,4,Ford,Automatic,Gray,Partial,0,Yes,9086.84,7661.978588455402
2009,13.53,2500,Diesel,1,Kia,Automatic,Black,Full,1,No,7678.45,7680.566486137432
2013,15.47,1800,Diesel,5,Volkswagen,Automatic,Black,,0,No,4767.2,5549.595590637412
2011,30.71,3000,Diesel,1,Hyundai,Manual,Black,Partial,0,No,12788.13,10754.135711155115
2012,18.38,1500,Petrol,2,Toyota,Manual,Red,Full,0,No,7349.98,6727.02700902317
1996,26.2,1500,Petrol,1,Nissan,Manual,Black,Partial,1,Yes,4935.62,5732.533595472844
2006,14.98,1500,Diesel,5,Nissan,Manual,Red,Full,1,Yes,4124.14,3939.8530450522667
2022,22.04,1000,Petrol,4,Volkswagen,Manual,Silver,Full,0,Yes,6449.99,6880.409652322535
2020,19.48,1000,Petrol,3,Kia,Automatic,Red,,0,No,7014.74,6835.240896844427
2018,21.01,1200,Diesel,3,Nissan,Automatic,Gray,,0,Yes,5689.54,6924.785702061741
2000,23.78,2500,Petrol,3,Honda,Manual,Blue,Full,0,Yes,7295.55,6514.081461370552
2007,6.23,1200,Petrol,5,Nissan,Automatic,Red,Full,0,Yes,3824.08,2587.7566227434118
1998,16.94,1800,Petrol,5,Nissan,Automatic,White,Partial,0,Yes,3280.74,3402.7296521404196
2002,11.07,800,Petrol,3,Chevrolet,Manual,Gray,Full,0,Yes,3694.77,2706.7337438852155
2011,10.72,5000,Diesel,2,Nissan,Manual,Gray,Full,1,Yes,11689.98,10797.360388493878
1995,22.72,1800,Petrol,1,Ford,Automatic,Black,,1,Yes,5062.31,5604.338060812903
2003,21.15,3000,Petrol,3,Nissan,Manual,Black,Full,0,Yes,7364.01,7423.1913083936
1997,22.82,1800,Petrol,2,Nissan,Automatic,White,Partial,0,No,5295.95,5466.79750058781
2008,17.37,800,Petrol,1,Nissan,Automatic,Blue,Partial,3,Yes,6191.8,5375.753892064138
2023,17.6,1200,Diesel,1,Chevrolet,Manual,Black,,0,Yes,9565.19,8241.071913046746
2019,21.33,2500,Petrol,3,Honda,Manual,Blue,Full,0,Yes,6533.59,9044.165454752509
2011,24.42,1200,Diesel,4,Hyundai,Automatic,Blue,,0,Yes,5843.76,5766.188114421071
1995,9.6,1200,Petrol,1,Chevrolet,Manual,Gray,,1,Yes,3953.87,3067.9270640984714
2013,12.61,3000,Petrol,5,Tesla,Manual,White,Partial,1,Yes,7588.23,6843.910999286703
2013,28.35,800,Diesel,1,BMW,Manual,Red,,0,Yes,6933.64,7563.0063340382185
2009,14.28,3000,Diesel,3,Chevrolet,Manual,Gray,Full,1,Yes,6491.54,7431.830286433858
2016,18.22,1000,Petrol,4,Chevrolet,Manual,Blue,Full,0,Yes,5179.66,5453.7294252042075
2019,17.0,5000,Diesel,2,Ford,Manual,Blue,Partial,1,No,11891.74,12748.986244924025
1997,18.8,1500,Petrol,4,Honda,Automatic,Red,Full,1,Yes,2944.06,3578.3546790068085
2010,13.44,2500,Diesel,3,Volkswagen,Automatic,Blue,Full,0,Yes,7058.73,6796.683691763427
2014,13.9,1500,Diesel,1,Hyundai,Manual,Black,,0,Yes,7426.9,6893.267119419135
2017,19.92,1200,Petrol,3,Toyota,Automatic,Gray,Partial,0,Yes,8032.2,6629.195760475541
2019,30.31,1200,Petrol,3,Ford,Automatic,White,Full,1,Yes,9140.48,8207.875699268696
2020,23.27,4000,Petrol,3,Kia,Automatic,Silver,Full,0,Yes,11362.28,11670.909908696445
2005,22.34,4000,Petrol,3,BMW,Manual,White,Full,0,Yes,9631.69,9409.076925564133
2016,19.86,800,Petrol,1,Toyota,Automatic,Red,Full,0,Yes,8793.51,6922.997662932334
1995,20.19,1200,Petrol,2,Honda,Manual,Black,Full,0,No,5047.31,3968.381478400044
1995,13.23,800,Diesel,2,Honda,Manual,Gray,Partial,1,Yes,2297.31,2461.0560511709236
2007,17.57,2000,Petrol,5,Nissan,Manual,Black,Full,0,Yes,5870.03,5113.0319430850595
1997,19.43,800,Electric,3,Ford,Automatic,Silver,,1,Yes,5553.0,6006.225955850197
2000,14.47,2500,Petrol,3,Tesla,Manual,White,,2,Yes,4125.06,5371.34272785915
2015,18.62,1200,Diesel,2,Hyundai,Manual,Black,Partial,0,Yes,7472.53,6674.231829551902
2020,17.6,1000,Petrol,4,Nissan,Manual,Gray,,0,Yes,7187.15,6004.190991832218
2022,20.08,800,Diesel,5,Chevrolet,Manual,Gray,,1,Yes,3338.86,5801.236206474923
2020,17.1,5000,Petrol,2,Volkswagen,Manual,Silver,Full,0,Yes,12898.23,12940.799326609947
2010,20.52,2500,Electric,2,Volkswagen,Manual,Black,Full,0,Yes,12689.55,11191.960229347056
2017,18.47,2000,Diesel,3,Chevrolet,Automatic,Silver,Full,0,Yes,7412.2,7641.464693475866
1997,26.58,800,Petrol,1,Ford,Manual,Blue,Partial,2,Yes,5840.15,4813.171761184587
1999,19.7,5000,Petrol,1,Tesla,Manual,White,Full,0,No,10585.79,10594.747800298428
2012,16.6,2500,Petrol,3,Volkswagen,Manual,Gray,Full,3,Yes,6559.56,7480.590024058403
1998,10.52,3000,Petrol,1,Hyundai,Manual,Gray,Full,1,Yes,5823.76,6304.920526697968
2013,17.96,1800,Petrol,2,Toyota,Automatic,White,Full,1,Yes,6599.46,7219.999760032617
2021,16.41,1500,Diesel,2,Volkswagen,Automatic,Silver,,0,No,9529.44,7829.088179180384
2011,22.79,4000,Electric,2,Tesla,Automatic,Gray,Partial,0,Yes,13312.85,13733.683155644509
2006,15.37,1500,Diesel,3,Toyota,Automatic,Silver,Partial,1,Yes,4327.01,4897.682982712299
1995,18.3,3000,Diesel,4,Ford,Manual,Blue,,0,Yes,4624.84,5331.492969781171
2001,24.8,5000,Diesel,2,Nissan,Manual,Silver,Full,0,Yes,10555.61,11005.562214932428
2022,14.15,1200,Petrol,2,Tesla,Manual,Gray,Full,2,Yes,8894.87,7119.917350106289
2018,16.86,1800,Petrol,3,Nissan,Automatic,Black,Partial,1,Yes,6659.21,7359.748304747225
2015,19.15,4000,Diesel,1,BMW,Manual,White,,2,Yes,10108.77,11501.952330538086
2004,10.29,1200,Petrol,2,Toyota,Manual,Silver,Full,0,No,1446.44,4040.4558425675714
2023,21.78,3000,Diesel,2,Ford,Manual,Red,Partial,0,Yes,11462.67,10972.223694418304
1998,24.0,2000,Petrol,2,Toyota,Automatic,White,Full,0,Yes,8114.07,6013.456837284553
2023,25.78,1200,Diesel,5,Kia,Automatic,Gray,Partial,0,Yes,8344.99,7263.918128969025
1999,17.13,1500,Petrol,5,Toyota,Automatic,Red,Partial,1,Yes,3623.15,3157.102797764799
2016,17.06,1800,Petrol,3,Tesla,Automatic,Black,Partial,1,Yes,7056.08,7036.131559118154
2005,21.87,1200,Petrol,3,Toyota,Automatic,Red,Full,0,No,4655.68,5183.980973664127
2015,27.94,1500,Diesel,5,Tesla,Manual,Blue,,1,Yes,8464.1,6717.06683700948
2001,16.44,3000,Diesel,3,Honda,Manual,Red,Full,1,Yes,6533.41,6609.078875182693
2003,11.58,4000,Electric,5,Tesla,Automatic,White,,1,Yes,10125.89,9758.429579483016
2022,15.29,5000,Diesel,1,Honda,Manual,White,,0,Yes,14975.53,13519.690671638862
2017,26.56,2500,Petrol,5,Chevrolet,Automatic,White,Full,0,Yes,7417.71,8417.960932463608
2004,16.83,800,Diesel,3,Honda,Manual,Red,Full,1,Yes,3636.95,3815.1966927173235
2017,24.83,3000,Diesel,3,Toyota,Manual,Silver,Full,1,No,10828.11,9940.870249323772
2002,16.07,1200,Petrol,3,BMW,Automatic,Red,Full,1,No,4485.33,4110.257985504021
2005,16.64,2000,Petrol,1,BMW,Automatic,Black,,0,Yes,7447.41,6732.7190395418365
2007,17.89,1800,Diesel,1,Volkswagen,Manual,Black,Full,1,Yes,7542.87,6861.834364885489
2009,18.79,1800,Diesel,2,Tesla,Manual,Blue,Full,2,No,5994.19,6673.057526787366
2021,18.05,1000,Diesel,4,Kia,Automatic,Gray,Full,1,Yes,7100.61,6227.508606474936
2006,18.36,5000,Petrol,4,Chevrolet,Automatic,Gray,Full,0,No,7918.73,10018.015442444457
2023,25.08,2500,Petrol,2,Hyundai,Manual,Black,Partial,1,Yes,11742.42,10587.609362895022
1998,17.01,2000,Diesel,5,Ford,Automatic,White,Partial,1,No,4084.48,3731.616091592705
2015,9.43,2000,Diesel,3,Chevrolet,Automatic,Silver,Partial,0,Yes,6246.8,6250.195079244297
2005,14.82,800,Diesel,4,Honda,Manual,Silver,Full,0,Yes,4021.44,3157.2425572302745
2005,17.47,4000,Diesel,2,Kia,Automatic,Black,Full,2,Yes,8372.52,9283.591396626594
2003,31.19,1500,Petrol,5,Toyota,Automatic,Gray,Full,1,Yes,5627.02,5384.3871232081565
2022,15.66,1200,Electric,2,BMW,Manual,Blue,,0,No,7767.67,10446.59500908963
1997,22.0,4000,Diesel,4,BMW,Manual,Gray,Partial,0,No,9035.31,7695.070008893328
2000,21.68,2500,Diesel,5,Tesla,Manual,Black,Full,0,Yes,5095.04,5269.695467240373
2022,25.04,5000,Petrol,2,BMW,Manual,Gray,Partial,0,No,15632.09,14249.42554333202
2014,16.01,2500,Electric,5,Volkswagen,Automatic,White,Full,1,Yes,10364.64,9783.212024262995
2022,15.78,3000,Diesel,1,Toyota,Manual,Silver,Full,0,Yes,11171.51,10529.793766039562
2001,19.65,3000,Petrol,2,Tesla,Manual,Gray,Full,0,Yes,6996.33,7342.076160782066
2014,17.39,1500,Electric,5,Volkswagen,Manual,Blue,Full,3,Yes,8179.71,8409.261494477274
2023,22.27,1800,Petrol,4,Ford,Manual,Gray,Full,0,Yes,9518.82,8188.6212442103315
2007,16.48,2500,Diesel,1,Chevrolet,Manual,Silver,,0,Yes,6710.88,7625.022959720038
2001,22.26,800,Petrol,3,Nissan,Manual,Gray,Partial,0,Yes,5069.33,3930.512144623526
2019,21.85,800,Diesel,3,Hyundai,Manual,Blue,Full,0,Yes,6209.54,6523.24437481375
2011,17.38,800,Petrol,2,Honda,Manual,Gray,Full,0,No,5827.86,5369.921952188293
2000,12.39,3000,Petrol,4,Nissan,Manual,White,Full,0,Yes,6797.6,5419.679402532325
2001,13.6,800,Petrol,3,Volkswagen,Automatic,Blue,Partial,0,Yes,2864.36,2931.844984145355
2007,26.57,1800,Petrol,1,Volkswagen,Manual,Black,Full,1,Yes,6400.54,7906.822442838781
2012,21.09,4000,Petrol,4,Hyundai,Automatic,Gray,Full,2,Yes,8704.94,9710.033841814962
2016,18.6,1200,Petrol,5,Volkswagen,Manual,Red,Full,2,Yes,5817.05,5460.73482922478
2007,7.21,2000,Petrol,1,Ford,Automatic,Red,,0,Yes,5861.69,5836.248289671032
2000,21.12,3000,Diesel,3,Tesla,Manual,Gray,Partial,0,Yes,6105.28,6885.209409659237
2011,21.39,3000,Diesel,3,Volkswagen,Manual,Gray,Full,0,Yes,7605.37,8649.438819033649
2022,19.25,3000,Petrol,4,BMW,Manual,Black,Full,0,Yes,10100.01,9590.229996125594
1999,20.7,2000,Petrol,5,Nissan,Manual,Gray,Full,1,Yes,3316.14,4264.57453555264
2022,18.26,4000,Diesel,4,Toyota,Automatic,Gray,Partial,0,Yes,13301.6,10871.26457010251
2007,19.09,1000,Diesel,5,Volkswagen,Manual,Black,Full,0,Yes,3755.2,3850.884494619768
1996,14.88,1200,Petrol,4,Toyota,Manual,Red,Full,0,Yes,1000.0,2462.7397822415132
2018,20.09,800,Diesel,4,Tesla,Automatic,Gray,Full,1,Yes,6469.21,5680.771117210896
2022,23.57,800,Diesel,1,Chevrolet,Automatic,Red,Full,0,Yes,7922.9,8257.207266773763
2004,14.46,1500,Petrol,2,Nissan,Manual,Blue,Partial,0,No,4017.65,4994.114348793848
2003,19.39,2000,Diesel,5,Chevrolet,Manual,Blue,Partial,1,Yes,6133.35,4674.085834038778
2005,20.42,3000,Diesel,2,Chevrolet,Manual,Gray,,0,Yes,6493.25,8063.871623909574
2020,16.85,4000,Petrol,1,Ford,Automatic,White,Full,1,Yes,12089.61,11891.537403082086
1998,14.19,2500,Diesel,4,Toyota,Manual,White,Full,0,No,4597.91,4621.871134282448
2003,20.38,1200,Electric,3,Tesla,Automatic,Red,Full,1,Yes,7453.28,7653.038097937287
2021,16.12,800,Petrol,5,Ford,Manual,Red,Full,1,Yes,5342.13,5236.970587126147
2022,11.99,1000,Petrol,2,Hyundai,Automatic,Blue,Partial,1,Yes,6604.62,6578.212564022017
2004,18.74,800,Petrol,4,Chevrolet,Manual,White,Full,1,Yes,2399.54,3478.4272880815815
2014,22.23,5000,Petrol,4,Tesla,Manual,Gray,Partial,2,Yes,12182.28,11605.493587890203
2017,18.18,1500,Petrol,1,Honda,Manual,Black,Full,1,Yes,8919.18,7904.774437861717
2016,14.33,1200,Petrol,5,Nissan,Manual,White,Partial,1,No,3027.25,4893.5367175657175
2020,23.95,2500,Petrol,5,BMW,Manual,Gray,Partial,0,Yes,9030.97,8582.5944362911
2020,15.67,1800,Petrol,5,BMW,Manual,Blue,,1,Yes,6962.45,6531.437576747604
2007,19.62,1800,Diesel,4,Kia,Manual,Red,,0,Yes,6048.83,5580.535875486548
2022,23.91,2000,Diesel,2,Toyota,Manual,Silver,Full,0,Yes,9580.51,9529.259615943287
2015,20.08,1000,Petrol,3,Chevrolet,Manual,Red,Full,0,Yes,4578.71,6096.788744899828
2016,16.69,2000,Diesel,2,Chevrolet,Manual,Gray,Full,0,Yes,5860.0,7755.011727816873
1999,14.67,3000,Petrol,2,Ford,Automatic,Gray,,0,Yes,6023.19,6484.842725863612
1996,19.8,4000,Petrol,5,Volkswagen,Manual,Black,Partial,0,Yes,7121.71,6777.847696923157
2009,11.81,800,Petrol,4,Nissan,Manual,Gray,Full,1,Yes,1654.58,3373.4602281630378
1999,18.67,800,Diesel,3,Tesla,Manual,Black,Full,0,Yes,3011.47,3195.105545664578
2011,14.35,800,Petrol,4,Nissan,Automatic,Blue,Full,0,Yes,3382.42,3977.849664695179
2004,13.25,2500,Diesel,1,Ford,Manual,Blue,Partial,1,Yes,8011.77,6783.22760190927
2012,8.36,3000,Electric,4,Chevrolet,Automatic,Silver,Full,1,Yes,10192.21,9698.353735324417
2021,12.44,2500,Petrol,3,Ford,Manual,Blue,,0,Yes,7872.14,8228.329125577553
2001,16.54,1500,Electric,5,Toyota,Automatic,Blue,,1,No,5292.28,6358.789313604388
2015,18.85,5000,Petrol,1,BMW,Automatic,Silver,Partial,0,Yes,14379.65,12925.876883345923
2022,17.04,1800,Petrol,3,Nissan,Manual,Silver,Full,1,Yes,7798.09,7920.674862445027
2002,11.28,3000,Petrol,3,Tesla,Manual,Black,Full,0,Yes,6424.18,6031.038791066975
2020,15.21,1500,Electric,5,Tesla,Automatic,Blue,,1,Yes,8725.8,8949.027764508186
